Lifetime_Gross_Rank,Movie_Title,Lifetime_Gross,Domestic_Distributor,Budget,MPAA,Running_Time_Minutes,Genres
238.0,Jaws ,471203000.0,Universal Pictures,7000000.0,,124.0,Adventure Drama Thriller
239.0,The Hangover ,469311000.0,Warner Bros.,35000000.0,R,100.0,Comedy
240.0,The Lego Movie ,468061000.0,Warner Bros.,60000000.0,PG,100.0,Action Adventure Animation Comedy Family Fantasy
241.0,Bumblebee ,467990000.0,Paramount Pictures,135000000.0,PG-13,114.0,Action Adventure Sci-Fi
242.0,Star Trek Into Darkness ,467365000.0,Paramount Pictures,190000000.0,PG-13,132.0,Action Adventure Sci-Fi
243.0,The Matrix ,465344000.0,Warner Bros.,63000000.0,R,136.0,Action Sci-Fi
244.0,Pretty Woman ,463406000.0,Walt Disney Studios Motion Pictures,14000000.0,R,119.0,Comedy Romance
245.0,Cars ,461983000.0,Walt Disney Studios Motion Pictures,120000000.0,,117.0,Animation Comedy Family Sport
246.0,Gladiator ,460584000.0,DreamWorks Distribution,103000000.0,R,155.0,Action Adventure Drama
247.0,X-Men: The Last Stand ,460435000.0,Twentieth Century Fox,210000000.0,PG-13,104.0,Action Sci-Fi
248.0,National Treasure: Book of Secrets ,459242000.0,Walt Disney Studios Motion Pictures,,PG,124.0,Action Adventure Mystery Thriller
249.0,Lucy ,458864000.0,Universal Pictures,40000000.0,R,89.0,Action Sci-Fi Thriller
250.0,Mission: Impossible ,457731000.0,Paramount Pictures,80000000.0,PG-13,110.0,Action Adventure Thriller
251.0,300 ,456068000.0,Warner Bros.,65000000.0,R,117.0,Action Drama
252.0,The Last Samurai ,454627000.0,Warner Bros.,140000000.0,R,154.0,Action Drama War
253.0,Dying to Survive ,451183000.0,,,,,Comedy Drama
254.0,Ocean's Eleven ,450717000.0,Warner Bros.,85000000.0,PG-13,116.0,Crime Thriller
255.0,"My People, My Country ",450065000.0,CMC Pictures,,,154.0,Drama History
256.0,Thor ,449327000.0,Paramount Pictures,150000000.0,PG-13,115.0,Action Adventure Fantasy
257.0,Pearl Harbor ,449221000.0,Walt Disney Studios Motion Pictures,140000000.0,PG-13,183.0,Action Drama History Romance War
258.0,Tarzan ,448192000.0,Walt Disney Studios Motion Pictures,130000000.0,,88.0,Adventure Animation Family Romance
259.0,La La Land ,446172000.0,Lionsgate,30000000.0,PG-13,128.0,Comedy Drama Music Musical Romance
260.0,Men in Black II ,445135000.0,Sony Pictures Releasing,140000000.0,PG-13,88.0,Action Adventure Comedy Mystery Sci-Fi
261.0,The Bourne Ultimatum ,444100000.0,Universal Pictures,110000000.0,PG-13,115.0,Action Mystery Thriller
262.0,The Mummy Returns ,443281000.0,Universal Pictures,98000000.0,PG-13,130.0,Action Adventure Fantasy Thriller
263.0,Alvin and the Chipmunks: The Squeakquel ,443140000.0,Twentieth Century Fox,75000000.0,PG,88.0,Animation Comedy Family Fantasy Music
264.0,Les Misérables ,441810000.0,Universal Pictures,61000000.0,PG-13,158.0,Drama History Musical Romance War
265.0,The Exorcist ,441306000.0,Warner Bros.,,R,122.0,Horror
266.0,Mrs. Doubtfire ,441286000.0,Twentieth Century Fox,25000000.0,PG-13,125.0,Comedy Drama Family
267.0,Terminator Genisys ,440604000.0,Paramount Pictures,155000000.0,PG-13,126.0,Action Adventure Sci-Fi
268.0,Beauty and the Beast ,440118000.0,Walt Disney Studios Motion Pictures,25000000.0,,84.0,Animation Family Fantasy Musical Romance
269.0,Warcraft ,439049000.0,Universal Pictures,160000000.0,PG-13,123.0,Action Adventure Fantasy
270.0,The Greatest Showman ,434993000.0,Twentieth Century Fox,84000000.0,PG,105.0,Biography Drama Musical
271.0,A Star Is Born ,434889000.0,Warner Bros.,36000000.0,R,136.0,Drama Music Romance
272.0,Terminator 3: Rise of the Machines ,433371000.0,Warner Bros.,200000000.0,R,109.0,Action Sci-Fi
273.0,Die Another Day ,431971000.0,Metro-Goldwyn-Mayer (MGM),142000000.0,PG-13,133.0,Action Adventure Thriller
274.0,Pokémon Detective Pikachu ,431705000.0,Warner Bros.,150000000.0,PG,104.0,Action Adventure Comedy Family Mystery Sci-Fi
275.0,Cast Away ,429632000.0,Twentieth Century Fox,90000000.0,PG-13,143.0,Adventure Drama Romance
276.0,The Secret Life of Pets 2 ,429434000.0,Universal Pictures,80000000.0,PG,86.0,Adventure Animation Comedy Family
277.0,Rampage ,428028000.0,Warner Bros.,120000000.0,PG-13,107.0,Action Adventure Sci-Fi
278.0,The King's Speech ,427374000.0,The Weinstein Company,15000000.0,R,118.0,Biography Drama History
279.0,The Matrix Revolutions ,427344000.0,Warner Bros.,150000000.0,R,129.0,Action Sci-Fi
280.0,The Intouchables ,426589000.0,The Weinstein Company,,R,112.0,Biography Comedy Drama
281.0,Django Unchained ,425368000.0,The Weinstein Company,100000000.0,R,165.0,Drama Western
282.0,Dances with Wolves ,424209000.0,Orion Pictures,22000000.0,,181.0,Adventure Drama Western
283.0,The Chronicles of Narnia: Prince Caspian ,419666000.0,Walt Disney Studios Motion Pictures,225000000.0,PG,150.0,Action Adventure Family Fantasy
284.0,Sex and the City ,418765000.0,Warner Bros.,65000000.0,R,145.0,Comedy Drama Romance
285.0,The Captain ,416953000.0,Well Go USA Entertainment,,,111.0,Drama
286.0,The Mummy ,415933000.0,Universal Pictures,80000000.0,PG-13,124.0,Action Adventure Fantasy
287.0,The Chronicles of Narnia: The Voyage of the Dawn Treader ,415686000.0,Twentieth Century Fox,155000000.0,PG,113.0,Adventure Family Fantasy
288.0,Jason Bourne ,415485000.0,Universal Pictures,120000000.0,PG-13,123.0,Action Thriller
289.0,The Wolverine ,414828000.0,Twentieth Century Fox,120000000.0,PG-13,126.0,Action Adventure Sci-Fi
290.0,Kingsman: The Secret Service ,414352000.0,Twentieth Century Fox,81000000.0,R,129.0,Action Adventure Comedy Thriller
